order_id,customer_id,product_id,order_date,quantity,price,payment_method,city
O000001,C0080,P0056,2026-03-11,2,89.79,Debit Card,West Katherinebury
O000002,C0272,P0012,2025-11-24,4,190.68,Debit Card,Port Crystalhaven
O000003,C0025,P0071,2025-11-08,3,2789.99,Debit Card,Port Anthonychester
O000004,C0106,P0066,2026-01-24,4,2622.96,Debit Card,Comptonburgh
O000005,C0109,P0050,2025-07-07,2,1915.07,Debit Card,Hurleyfort
O000006,C0018,P0078,2026-03-03,5,1746.83,Credit Card,West Troyhaven
O000007,C0245,P0057,2025-10-02,5,866.01,Debit Card,Adamsmouth
O000008,C0215,P0069,2025-10-25,5,1684.9,Debit Card,Graymouth
O000009,C0183,P0064,2025-07-13,1,1822.0,Debit Card,North Thomas
O000010,C0175,P0019,2025-10-21,4,855.47,PayPal,North Shannonstad
O000011,C0090,P0076,2025-06-12,1,2810.95,Credit Card,New Nathan
O000012,C0004,P0055,2026-04-11,3,2802.31,UPI,East Hunterberg
O000013,C0209,P0049,2025-07-12,5,1226.44,Debit Card,West Judy
O000014,C0023,P0022,2026-03-23,4,731.61,Debit Card,Hallview
O000015,C0164,P0010,2025-08-09,2,2645.95,Credit Card,East Sarahview
O000016,C0247,P0049,2025-06-21,3,287.5,PayPal,Lake Jenniferland
O000017,C0247,P0033,2025-11-03,3,472.69,UPI,Lake Jenniferland
O000018,C0090,P0036,2026-03-21,3,2789.76,UPI,New Nathan
O000019,C0073,P0039,2025-05-28,3,2628.7,Debit Card,Lake Lisahaven
O000020,C0104,P0049,2025-05-29,2,1370.23,PayPal,Port Connieview
O000021,C0265,P0038,2026-03-27,4,699.11,PayPal,West Brenda
O000022,C0165,P0008,2025-05-22,2,44.63,Debit Card,Dawnberg
O000023,C0011,P0060,2025-12-20,2,295.6,PayPal,Parsonschester
O000024,C0118,P0033,2025-06-24,2,615.6,Credit Card,Tinaside
O000025,C0111,P0052,2026-03-12,3,476.38,Debit Card,Williamshire
O000026,C0033,P0013,2026-01-03,1,1901.36,PayPal,New Christianshire
O000027,C0063,P0016,2026-01-19,3,1748.85,Debit Card,East Troy
O000028,C0034,P0020,2025-09-08,4,2314.72,Debit Card,West Aaronfort
O000029,C0102,P0051,2026-04-13,5,1680.28,PayPal,Allenville
O000030,C0024,P0032,2026-03-09,3,2526.99,Credit Card,New Ashley
O000031,C0058,P0005,2026-01-15,1,1028.46,UPI,Ruiztown
O000032,C0038,P0076,2025-11-21,1,185.68,Credit Card,Bellville
O000033,C0203,P0052,2025-08-24,5,401.96,UPI,Pierceside
O000034,C0122,P0076,2026-02-23,2,1274.79,Debit Card,Eugeneport
O000035,C0169,P0020,2026-03-18,5,507.64,UPI,Edwardsview
O000036,C0097,P0016,2025-12-15,4,2510.65,UPI,Brianstad
O000037,C0296,P0012,2025-12-07,1,2648.7,UPI,Josephfort
O000038,C0212,P0076,2025-10-04,3,2227.36,PayPal,Ortegaton
O000039,C0034,P0064,2025-12-21,5,1474.6,PayPal,West Aaronfort
O000040,C0195,P0014,2026-03-25,3,1990.54,PayPal,Port Patrickville
O000041,C0276,P0077,2025-05-20,2,575.03,UPI,Lake Jimmy
